Cancelled,Loan_Num,Accepted_Date,Default_Charge,Late_Charge,NSF_Charge,Premium,Down,AmtFin,FinChg,APR,Term,Mature_Date,Payments_Rcvd,Agent_ID,Borrower_ID,Borrower_State,Borrower_Zip,Agent_State,Exposure,Borrower_Category,Borrower_CreditScore,Borrower_EnrolledInEForms,Agent_RegisteredOnWeb,Agent_EnrolledInEForms,Agent_IntentEForm,Agent_CancelEForm,Agent_ReinstateEForm,Agent_PendingPolicyRequestEForm,Agent_ACHPaymentLetterEForm,Agent_RegisteredForCancelListReport,Agent_RegisteredForEimpendingReport,Agent_RecurringACHForm,Agent_EnrolledInCreditProgram,Agent_DownPaymentViaCC,Agent_DownPaymentViaACH,Borrower_RegisteredOnWeb,Borrower_DateRegisteredForWeb,Borrower_RegisteredForEForms,Borrower_DateRegisteredForEForms,Borrower_RegisteredForCancellationWarning,Borrower_DATERegisteredForCancellationWarning,Borrower_Classification,Borrower_SubTerm,Risk_Score,NoticeOfIntentToCancelDate,BankruptcyFlag,RecurringACH_TF
0,1A123DF2-704D-4AA4-869C-DA30B6F2876E,4/2/2015,0,0,0,996.64,249.16,747.48,76.56,23.95,9,11/5/2015,9,13,3082759,TX,75010,TX,0,NULL,2,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,3/15/2019,1,4/7/2015,1,4/7/2015,Retail Trade,General Other,NULL,NULL,NULL,0
0,FFB6A7BB-93BB-4FED-A6A7-3211828F604B,4/3/2015,0,3.09,0,534,133.5,400.5,32.59,23.95,7,10/27/2015,0,14,3081542,TX,78521-3667,TX,74.76,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,1,1/21/2015,Transportation,General Transportation,NULL,5/7/2015,NULL,0
0,CF938689-1A67-427A-A5A6-A548BF67895A,4/13/2015,0,0,0,12440,3266,9174,598.9,14,10,2/9/2016,10,15,3086629,TX,78537-4322,TX,30.3,NULL,3,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Transportation,Trucking,NULL,NULL,NULL,0
1,64113503-E0E1-466B-B348-E59F95C85F9E,5/14/2015,0,0,0,8306.14,1872.43,6433.71,419.99,14,10,3/16/2016,1,16,3088230,TX,78577-5153,TX,321.68,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Transportation,Trucking,NULL,7/27/2015,NULL,0
0,E9E4185C-7DF1-43DD-83C5-6D7285DB05B5,6/11/2015,0,21.82,0,5368,1342,4026,338.6,17.95,10,4/8/2016,10,17,3067640,TX,75020-1470,TX,0,NULL,5,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,1,7/8/2014,1,12/19/2017,Services,General Other,NULL,12/18/2015,NULL,0
0,65BE0978-03DF-4D0B-9442-C358B1FAB0D2,6/11/2015,0,0,0,12564.98,3406.75,9158.23,541.7,13.98,9,3/3/2016,9,18,3089527,TX,76112-6018,TX,0,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,General,Personal DBA,NULL,NULL,NULL,0
0,05B57DF3-3530-4E33-AB83-3CDB160D825F,6/12/2015,0,0,210,8025,1805,6220,406.1,14,10,4/14/2016,10,19,3089567,TX,78045-0012,TX,298.05,NULL,3,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,7/18/2015,1,7/18/2015,1,7/20/2015,Transportation,Trucking,NULL,3/24/2016,NULL,0
0,050E5D4A-D392-43E4-8683-4A164924F6F2,6/17/2015,0,0,0,17985,5846.25,12138.75,591.66,11.55,9,3/1/2016,9,20,3089755,TX,75069-7859,TX,0,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,1,9/2/2015,Real Estate,General Fin/Ins/Real,NULL,8/11/2015,NULL,0
0,28A6633A-66F4-4349-97D6-D0CB574E7D1A,6/23/2015,0,39.54,0,3229.12,1032.28,2196.84,168.13,17.95,9,3/21/2016,8,21,3051056,FL,32757-6700,TX,0,NULL,NULL,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,1,8/2/2015,0,NULL,General,Personal DBA,NULL,10/26/2015,NULL,0
0,004E4A11-E146-4795-ADCD-0EED3D624F9A,6/25/2015,0,29.85,0,2417.65,754.41,1663.24,126.86,17.95,9,3/20/2016,9,22,3027071,NC,28027-9532,TX,0,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Construction,Roofing,NULL,2/25/2016,NULL,0
0,3A73BCFF-16F8-4E13-B755-1B9DC9CA70FD,7/23/2015,0,0,0,4177.52,1194.38,2983.14,227.52,17.95,9,4/20/2016,9,23,3055868,TX,78745-3853,TX,0,NULL,2,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Real Estate,Real Estate,NULL,NULL,NULL,0
0,3E4960F6-F223-4BB8-B0A8-61B137EBF0C4,7/30/2015,15,0,0,9428.35,2576.35,6852,357.45,12.35,9,12/7/2015,4,24,3091710,CA,92648-6012,TX,0,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Services,Medical,NULL,8/17/2015,NULL,0
0,86BFF2EB-BD4F-48A4-BE55-9B319B95C4EE,7/30/2015,0,64.48,0,4446.1,1471.53,2974.57,250.13,17.95,10,4/23/2016,10,25,3070762,TX,75211-5330,TX,21.53,NULL,3,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,1,1/1/2015,Agriculture,General Other,NULL,5/3/2016,NULL,0
1,29A0388B-4CC0-4BA7-90F4-3048867C7633,7/30/2015,0,0,0,17830.12,4873.03,12957.09,845.91,14,10,5/24/2016,4,26,3091713,TX,78576-1104,TX,77.31,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Transportation,General Transportation,NULL,1/4/2016,NULL,0
0,7F940A97-A2BD-47AE-8C75-D980B791F450,7/31/2015,0,0,0,3934.46,1171.12,2763.34,210.8,17.95,9,4/30/2016,9,27,3091824,TX,79105-1344,TX,0,NULL,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1/14/2019,1,1/14/2019,1,1/14/2019,Retail Trade,General Other,NULL,NULL,NULL,0
0,D55E61AA-187F-4A65-AD92-FF9520F6F8E1,8/4/2015,0,0,0,3345,1600,1745,133.12,17.95,9,5/6/2016,0,28,3091995,LA,70560,TX,0,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Real Estate,General Other,NULL,NULL,NULL,0
0,F15D104B-FCB7-43E1-B688-5721B518B9B5,8/4/2015,0,0,0,2763.33,878.33,1885,142.34,17.95,9,5/3/2016,9,29,3074729,TX,76472-0337,TX,0,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Transportation,Marine,NULL,NULL,NULL,0
0,E8E41C18-5586-43D7-84AB-E02499A0BF22,8/6/2015,0,0,30,8859,2103,6756,441.1,14,10,6/11/2016,10,30,3074723,TX,78109-3582,TX,226.29,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Transportation,Trucking,NULL,1/21/2016,NULL,0
0,6471C249-1249-46A9-A285-506C79FB8C2F,8/12/2015,0,33.59,0,7922,2166.88,5755.12,290.36,11.95,9,5/11/2016,9,31,3074929,GA,30126-2964,TX,0,NULL,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,1,9/8/2014,1,9/17/2015,Services,General Other,NULL,9/16/2015,NULL,0
1,84A83653-F83B-4C2D-9140-981E37655399,8/17/2015,0,464.12,0,19388.23,4357.65,15030.58,874.52,12.5,10,6/6/2016,8,32,3092511,TX,78741-7373,TX,788.43,NULL,4,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,1,11/25/2015,Transportation,General Transportation,NULL,5/16/2016,NULL,0
0,A8E3D6C5-68C7-4B25-9B68-ACE0A8387148,8/21/2015,0,0,0,1233.75,514.69,719.06,58,18.95,9,6/14/2016,0,33,3023244,TX,77082,TX,0,NULL,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,General,General Other,NULL,NULL,NULL,0
0,FAA35C06-13B9-46F2-B16A-DF70DD530B43,8/26/2015,0,86.88,0,5897,1680.5,4216.5,127.85,12.05,5,1/30/2016,5,34,3093035,TX,78758-5800,TX,483.49,NULL,5,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,1,12/17/2015,0,NULL,General,Locations,NULL,12/10/2015,NULL,0
1,5C0782A8-72B6-4DBD-94AB-269FCD25AE7F,9/11/2015,0,0,0,14838.3,3963.82,10874.48,667.48,14.5,9,6/7/2016,2,35,3093490,TX,78573-0641,TX,42.65,NULL,2,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,General,Personal DBA,NULL,12/17/2015,NULL,0
0,94E65193-F692-4E8C-99E2-202953307149,9/18/2015,0,0,0,105565.16,11443.58,94121.58,3999.9,8.85,10,6/26/2016,10,36,3054952,TX,78207-1714,TX,20049.34,NULL,5,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,1,3/24/2014,Transportation,General Transportation,NULL,NULL,NULL,0
0,91C0528D-3024-4479-8162-65D0B2B25A96,9/21/2015,0,104.56,0,11688.6,2750.52,8938.08,471.96,12.5,9,6/10/2016,9,37,3094066,TX,78541-4011,TX,589.73,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Transportation,General Transportation,NULL,6/20/2016,NULL,0
0,F6EFB825-D0C7-4910-A110-41AB9AFF318C,9/22/2015,0,19.39,0,1205.2,413.8,791.4,81.06,23.95,9,6/4/2016,9,38,3077161,KY,41035-7784,TX,0,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,1,11/13/2014,General,General Other,NULL,6/9/2016,NULL,0
0,D9D15317-CDB1-46D9-A356-670A8F1668E3,9/25/2015,0,320.4,0,7976.9,1920.79,6056.11,352.39,12.5,10,7/28/2016,10,39,3094294,TX,78586-9840,TX,152.08,NULL,4,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,1,10/16/2015,1,10/16/2015,Transportation,Trucking,NULL,8/8/2016,NULL,0
0,C059DDE6-D293-4575-89FF-C64475A2665B,10/5/2015,0,38.03,0,5850,1639.3,4210.7,268.03,17.95,9,7/12/2016,9,40,3025996,TX,76040-7720,TX,0,NULL,3,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,10/23/2018,1,3/21/2014,1,5/5/2015,Transportation,General Transportation,NULL,5/23/2016,NULL,0
0,9ACF73A7-9E67-4EE4-B3E6-2822680DF3C5,10/12/2015,0,0,0,8389,3355.6,5033.4,100.83,11.98,3,1/1/2016,3,41,3094958,CA,92780-3211,TX,0,NULL,NULL,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,1,10/21/2015,1,10/21/2015,Real Estate,Real Estate,NULL,NULL,NULL,0
0,C83F1128-D967-487F-96DC-D64CC83F54AD,10/12/2015,0,0,0,7394.03,1738.8,5655.23,368.67,13.98,10,8/17/2016,10,42,3078600,TX,77979-4040,TX,353.4575,NULL,2,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,General,General Other,NULL,NULL,NULL,0
1,22E8716A-5DB3-4412-AEE1-011EFD22CB4B,10/12/2015,0,0,0,1357.54,400,957.54,85.26,18.98,10,7/25/2016,1,43,3094977,TX,78621-1736,TX,108.44,NULL,4,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,1,10/28/2015,1,10/28/2015,Services,General Services,NULL,12/7/2015,NULL,0
0,A5C581B4-BCDD-4193-941B-B85A504B23F2,10/14/2015,0,0,0,8954,2686.2,6267.8,190.48,14.5,4,1/30/2016,4,44,3094867,TX,78332-3938,TX,620.49,NULL,2,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Real Estate,Real Estate,NULL,NULL,NULL,0
0,86431C6E-807D-4281-807E-E1459A65B548,10/16/2015,0,113.6,0,12608.11,2897.62,9710.49,512.7,12.5,9,7/13/2016,9,45,3095216,AZ,85302-2309,TX,485.53,NULL,NULL,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,1,10/28/2015,1,10/28/2015,Transportation,General Transportation,NULL,5/18/2016,NULL,0
0,53C2E49E-E6C9-494A-9BAD-A8EDA097769E,10/26/2015,0,0,0,5897.6,1961.9,3935.7,300.15,17.95,9,7/29/2016,9,46,3058045,NY,11561-1033,TX,0,NULL,NULL,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,12/19/2018,1,11/27/2015,1,10/28/2013,Retail Trade,General Other,NULL,NULL,NULL,0
0,968DF402-E770-45FF-BCC1-487F1AAE06D9,10/28/2015,0,207.06,0,9332,4316,5016,307.86,14.5,9,7/4/2016,9,47,3058617,CA,91739-2105,TX,0,NULL,2,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,1,11/12/2013,General,Technical Assortment,NULL,7/14/2016,NULL,0
0,CB1A8869-34BB-4354-93D4-98F63D0F1583,11/4/2015,0,10.48,90,778.44,307.11,471.33,53.27,23.95,10,7/29/2016,10,48,3096064,TX,75238-3931,TX,5.45,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Services,General Other,NULL,6/8/2016,NULL,0
0,4F741032-47C2-4DDB-A204-3E9E922E4C0A,11/5/2015,0,32.1,0,2386.71,596.68,1790.03,136.51,17.95,9,8/5/2016,9,49,3028848,TX,77651-4309,TX,0,NULL,3,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1/11/2016,1,1/11/2016,1,1/12/2016,Real Estate,General Other,NULL,6/15/2016,NULL,0
0,659EB8E9-ACEC-4217-A76C-8E14624AEFC9,11/16/2015,0,279.04,0,8361,1811.66,6549.34,427.56,14,10,9/11/2016,10,50,3096470,TX,78584-1491,TX,463.25,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,General,General Blended,NULL,8/22/2016,NULL,0
0,ACE9E848-8A9E-4690-9579-B0ED8F9FF384,11/23/2015,5,13.44,0,1126,394,732,74.94,23.95,9,8/17/2016,9,51,3096748,OR,97703-7557,TX,0,NULL,2,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,1,9/16/2016,1,5/1/2017,Services,General Other,NULL,8/29/2016,NULL,0
1,7E33B7EE-36BC-4D70-9479-02729B959C25,11/30/2015,45,186.8,0,8738.28,2372.07,6366.21,357.96,13.3,9,8/14/2016,4,52,3081903,UT,84101-2275,TX,-1.76,NULL,4,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,1,10/21/2015,Real Estate,Finance,NULL,4/19/2016,NULL,0
0,A2081D2A-D1EA-4DB4-9191-239B85FB6FE2,12/4/2015,0,26.96,0,3510.26,1256.41,2253.85,171.92,17.95,9,9/9/2016,9,53,3080734,MS,39465-9415,TX,0,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,1,1/5/2015,General,Personal DBA,NULL,7/14/2016,NULL,0
0,512CB335-7447-4011-AC71-1807AE6C824A,12/4/2015,15,6.01,0,1309,327.25,981.75,100.59,23.95,9,8/30/2016,9,54,3097133,GA,30022-3253,TX,0,NULL,2,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,General,General Other,NULL,1/4/2016,NULL,0
0,B08CE513-6B4E-4FE7-B019-DF4321359BA7,12/14/2015,0,0,0,9375.84,2766.96,6608.88,405.72,14.5,9,9/4/2016,9,55,3097503,TX,75211-7860,TX,0,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Transportation,Trucking,NULL,NULL,NULL,0
1,DDE66C06-EAA5-4EA2-BEB6-66162F8A0ADA,12/14/2015,0,127.4,0,15142.71,4317.21,10825.5,640.32,13.98,9,8/15/2016,2,56,3059986,TX,78738-6477,TX,0,NULL,2,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,General,General Other,NULL,2/25/2016,NULL,0
0,C047B965-4B3D-4B19-895A-B5C5D69A7B62,12/23/2015,0,0,0,5093.04,1600,3493.04,221.89,15,9,9/19/2016,9,57,3097837,TX,76310-1114,TX,270.65,NULL,3,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Services,General Other,NULL,NULL,NULL,0
0,D10A8353-3217-4A0D-9913-1173DDC6BE73,1/4/2016,0,0,0,21161.91,4851.58,16310.33,875.27,12.5,10,10/28/2016,7,58,3098104,TX,78589-3175,TX,480.49,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Transportation,General Transportation,NULL,NULL,NULL,0
0,2F08E3DE-5611-4821-AE9F-12A518476FD5,1/7/2016,0,5.3,0,1153,288.25,864.75,88.53,23.95,9,9/24/2016,9,59,3083718,CA,91605-6317,TX,0,NULL,3,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,1,3/17/2015,Government,City,NULL,3/7/2016,NULL,0
0,113AA754-C95E-4CEF-A055-E15C1426304C,1/7/2016,0,28.07,25,1022.5,368.12,654.38,67.06,23.95,9,10/4/2016,9,60,3036466,NC,28277-3153,TX,0,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Construction,General Construction,NULL,10/10/2016,NULL,0
0,712EF56D-578E-443E-A277-BB5EE1BBC0F3,1/19/2016,0,47.31,0,10899,2837.25,8061.75,453.33,13.3,9,10/11/2016,9,61,3098690,CA,90803-5319,TX,-917.38,NULL,3,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Real Estate,General Other,NULL,9/21/2016,NULL,0
0,0374A4B5-A616-4374-A2D0-51508AC84413,1/25/2016,0,0,0,2190,750,1440,122.31,19.95,9,10/16/2016,9,62,3062611,TN,37650-2124,TX,0,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,General,General Other,NULL,NULL,NULL,0
0,46B322DA-55FF-4EFE-851A-90EE9FAD2FFD,1/25/2016,0,24.4,0,5766.61,1685.4,4081.21,311.24,17.95,9,10/19/2016,9,63,3098925,TX,78842-0551,TX,0,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,1,3/22/2016,Services,General Other,NULL,2/29/2016,NULL,0
1,EA1AECE2-7466-40DD-8BB2-3A2BA1C5FB29,1/26/2016,0,10.35,0,1176,613.5,562.5,57.6,23.95,9,9/30/2016,6,64,3099016,TX,75229-5441,TX,0,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Manufacturing,General Other,NULL,8/10/2016,NULL,0
0,D0354BC5-7C58-4DCC-85D5-E7D441139316,1/27/2016,0,0,0,40398.97,10533.37,29865.6,1469.07,12.5,9,10/23/2016,9,65,3099038,TX,78577,TX,1192.86,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Transportation,Trucking,NULL,NULL,NULL,0
0,EB04874B-B4F9-416B-B083-0D16C7762A6E,1/27/2016,0,15.04,0,1764,516,1248,106.05,19.95,9,10/26/2016,9,66,3099040,TX,77627-0253,TX,0,NULL,3,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Services,General Other,NULL,9/6/2016,NULL,0
0,4FEF2D39-8384-4BF8-82FF-6F423E87ABD9,2/2/2016,0,0,0,2960.35,788.35,2172,161.9,15.95,10,11/29/2016,10,67,3037721,TX,77979-3610,TX,4.33,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,General,Personal DBA,NULL,NULL,NULL,0
0,05B27F21-5CC5-420E-BD8B-02DE0A610D17,2/3/2016,0,0,0,59524.06,10021.23,49502.83,2613.92,12.5,9,11/5/2016,9,68,3099368,TX,78572-4713,TX,9363.92,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Transportation,General Transportation,NULL,3/15/2016,NULL,0
0,59A5E4C8-F608-4E39-AD6F-2E083590C512,2/5/2016,0,0,0,17067.14,3781,13286.14,866.06,13.98,10,10/22/2016,10,69,3099504,TX,75206-6566,TX,682.34,NULL,5,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,1,6/2/2017,1,4/26/2017,Real Estate,Real Estate,NULL,NULL,NULL,0
0,4F387AE1-A629-471C-A39A-DDD6A195A6F3,2/11/2016,0,15.98,0,1768,442,1326,112.65,19.95,9,8/1/2016,9,70,3099704,TX,76706-2065,TX,0,NULL,3,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,General,Organization,,7/11/2016,NULL,0
0,185DFEB0-F10F-467F-81EE-4D01EBCE23C7,3/4/2016,0,10.98,0,997.51,399.38,598.13,61.3,23.95,9,11/6/2016,9,71,3035198,TX,79015-6607,TX,0,NULL,5,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,1,6/10/2013,General,General Blended,NULL,11/16/2016,NULL,0
0,73702FFA-75D3-4499-B185-5FF2A75B5967,3/10/2016,0,0,0,27990.53,7953.43,20037.1,850.26,11.5,9,12/5/2016,9,72,3100936,TX,78576-8124,TX,701.48,NULL,3,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Transportation,General Transportation,,NULL,NULL,0
0,112050D7-42F8-46E3-AEF9-38E2D608EE74,3/14/2016,15,9.5,0,1228.6,453.4,775.2,79.44,23.95,9,12/9/2016,9,73,3101051,CA,92648-8143,TX,0.05,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Real Estate,Real Estate,,5/19/2016,NULL,0
